url_len,url_dep,httpDomain,tinyURL,hyphenURL,subURl,keyWordURL,dns,domainAge,domainEnd,iframe,forwarding,label
178,5,1,0,0,1,0,1,1,1,0,0,1
51,3,1,0,0,1,0,1,1,1,0,0,1
33,1,1,0,0,1,0,1,1,1,1,0,1
52,1,1,0,1,2,0,1,1,1,1,0,1
27,0,1,0,0,1,0,1,1,1,1,0,1
178,5,1,0,0,1,0,1,1,1,0,0,1
71,2,1,0,1,1,0,1,1,1,0,0,1
29,0,0,0,0,0,0,1,1,1,1,0,1
104,3,1,0,0,2,0,1,1,1,1,0,1
179,0,1,0,0,1,0,1,1,1,0,0,1
167,5,1,0,0,1,0,1,1,1,0,0,1
85,0,1,0,1,1,0,1,1,1,0,0,1
29,2,1,0,0,1,0,1,1,1,1,0,1
28,0,1,0,0,1,0,1,1,1,1,0,1
63,1,1,0,1,2,0,1,1,1,1,0,1
97,2,1,0,0,1,0,1,1,1,1,0,1
44,0,1,0,0,1,0,1,1,1,1,0,1
173,5,1,0,0,1,0,1,1,1,0,0,1
35,0,0,0,1,0,0,1,1,1,1,0,1
44,3,1,0,0,2,1,1,1,1,1,0,1
473,3,1,0,0,1,1,1,1,1,0,0,1
40,0,1,1,0,1,0,1,1,1,0,0,1
51,2,1,0,0,1,0,1,1,1,1,0,1
42,3,1,0,0,1,0,1,1,1,1,0,1
39,1,1,0,0,1,0,1,1,1,0,0,1
28,0,1,0,0,1,1,1,1,1,0,0,1
24,1,1,0,0,1,0,1,1,1,1,0,1
63,1,1,0,1,2,0,1,1,1,0,0,1
81,1,1,0,1,1,0,1,1,1,0,0,1
27,0,1,0,0,1,0,1,1,1,1,0,1
71,2,1,0,1,1,0,1,1,1,1,0,1
41,0,1,0,1,1,0,1,1,1,0,0,1
28,0,1,0,0,1,0,1,1,1,1,0,1
126,1,0,0,1,1,0,1,1,1,0,0,1
27,0,1,0,0,1,0,1,1,1,1,0,1
37,1,1,0,0,2,0,1,1,1,1,1,1
21,1,0,1,0,1,0,1,1,1,1,1,1
44,0,1,0,1,1,0,1,1,1,1,0,1
38,0,1,0,1,1,0,1,1,1,1,0,1
29,0,0,0,0,0,0,1,1,1,1,0,1
21,0,1,0,0,1,0,1,1,1,1,1,1
29,0,1,0,1,1,0,1,1,1,0,0,1
31,0,1,0,1,1,0,1,1,1,1,0,1
42,0,0,1,0,1,0,1,1,1,0,0,1
65,3,1,1,1,1,1,1,1,1,1,0,1
67,2,1,0,0,1,0,1,1,1,0,0,1
88,0,1,0,0,0,0,1,1,1,1,0,1
68,2,0,0,0,2,0,1,1,1,0,0,1
41,0,1,0,0,1,0,1,1,1,1,1,1
45,0,1,0,1,1,0,1,1,1,0,0,1
28,1,1,1,0,1,0,1,1,1,0,0,1
23,0,1,0,0,1,0,1,1,1,1,1,1
57,3,1,0,0,1,0,1,1,1,0,1,1
31,0,1,0,1,1,0,1,1,1,0,0,1
24,1,1,0,0,1,0,1,1,1,1,0,1
33,0,1,0,1,1,0,1,1,1,0,0,1
106,1,1,0,1,2,0,1,1,1,0,0,1
39,0,1,0,0,1,0,1,1,1,1,0,1
86,2,1,0,0,1,0,1,1,1,1,0,1
190,5,1,0,0,1,0,1,1,1,0,0,1
41,0,1,0,1,1,0,1,1,1,1,0,1
80,2,1,0,0,1,0,1,1,1,1,0,1
23,0,1,0,0,1,0,1,1,1,1,0,1
167,5,1,0,0,1,0,1,1,1,0,0,1
24,0,0,0,0,0,0,1,1,1,0,0,1
65,1,1,0,1,2,0,1,1,1,0,0,1
53,0,1,0,1,1,0,1,1,1,1,0,1
67,0,1,0,0,1,0,1,1,1,1,0,1
92,2,1,0,1,1,0,1,1,1,0,0,1
34,0,1,0,0,1,0,1,1,1,1,0,1
130,5,1,1,0,4,0,1,1,1,1,0,1
22,1,1,1,0,1,0,1,1,1,0,0,1
93,2,1,0,1,1,0,1,1,1,1,0,1
41,0,1,0,1,1,0,1,1,1,1,0,1
29,1,1,0,0,1,0,1,1,1,1,0,1
85,0,1,0,1,1,0,1,1,1,0,0,1
34,0,1,0,0,1,0,1,1,1,1,0,1
37,0,1,0,1,1,0,1,1,1,1,0,1
37,1,1,0,0,1,0,1,1,1,1,0,1
46,0,1,0,1,1,0,1,1,1,0,0,1
71,2,1,0,1,1,0,1,1,1,0,0,1
34,0,1,0,1,1,0,1,1,1,0,0,1
51,3,0,0,1,3,0,1,1,1,0,0,1
67,2,1,0,0,1,0,1,1,1,1,0,1
97,2,1,0,0,1,0,1,1,1,1,0,1
36,1,1,0,0,1,0,1,1,1,1,0,1
96,2,1,0,0,1,0,1,1,1,1,0,1
93,2,1,0,1,1,0,1,1,1,1,0,1
87,3,1,0,1,2,0,1,1,1,0,0,1
22,0,1,0,0,0,0,1,1,1,0,0,1
26,1,1,0,0,1,1,1,1,1,1,0,1
43,0,1,0,1,1,0,1,1,1,0,0,1
99,5,1,0,0,1,0,1,1,1,0,0,1
34,1,1,0,0,1,0,1,1,1,1,1,1
50,0,1,1,1,1,0,1,1,1,0,0,1
99,3,1,0,0,2,0,1,1,1,0,0,1
97,2,1,0,0,1,0,1,1,1,1,0,1
51,2,1,0,0,1,0,1,1,1,0,0,1
44,0,1,0,0,1,0,1,1,1,0,0,1
51,2,1,0,0,1,0,1,1,1,0,0,1
37,0,1,0,1,1,0,1,1,1,1,0,1
36,0,1,0,0,1,0,1,1,1,1,0,1
62,4,0,0,0,2,0,1,1,1,1,0,1
51,0,1,0,1,1,0,1,1,1,0,0,1
38,0,1,0,1,1,0,1,1,1,0,0,1
403,3,1,0,0,1,1,1,1,1,1,0,1
92,2,1,0,1,1,0,1,1,1,0,0,1
183,3,1,0,1,2,0,1,1,1,0,0,1
107,3,1,0,1,2,0,1,1,1,0,0,1
71,2,1,0,1,1,0,1,1,1,0,0,1
33,0,1,0,0,1,0,1,1,1,1,0,1
