,domain,url_len,url_dep,httpDomain,tinyURL,hyphenURL,subURl,keyWordURL
215,bafybeigrvqwbq6srtwovhnt7fqmnwazsueigjepmas67gqtjrpgfm5c5pu.ipfs.cf-ipfs.com,96,1,1,0,1,2,0
216,fibanc-bg.firebaseapp.com,79,1,1,0,1,2,0
217,cutt.ly,24,1,1,0,0,1,0
218,bafybeibbq45cj5xxnowqvma2b3ivr2v6od5wnpnymqmand4hh5f3iwhomu.ipfs.nftstorage.link,101,1,1,0,0,2,0
219,itonline.ro,79,3,1,0,0,2,0
220,camronpeto.pages.dev,29,0,1,0,0,1,0
221,cryptx.capital,104,1,1,0,0,2,1
222,dark-silence-8824.unitedcargosan5885.workers.dev,57,0,1,0,1,1,0
223,orsotoscani1ito.blogspot.com,40,0,0,1,0,1,0
224,deutsh-us68448654gb-logistics.web.app,46,0,1,0,1,1,0
225,dispatch.romaniadeliveryguide.com,49,1,1,0,0,1,0
226,jhgfcddsawerdfv.weebly.com,35,0,1,0,0,1,0
227,cloudflare-ipfs.com,98,3,1,0,1,1,0
228,new.express.adobe.com,51,2,1,0,0,1,0
229,bafybeichte5id5wzl2c6wvn6zivndqqvt3z7cyhsoqevcwox4twt2pdzii.ipfs.cf-ipfs.com,85,0,1,0,1,1,0
230,cox-communication-100483.weeblysite.com,48,0,1,0,1,1,0
231,pub-e3a692c237ae4b7880a91f9b875c7fc7.r2.dev,80,1,1,0,1,2,0
232,docs.google.com,175,5,1,0,0,1,0
233,ukkiw.ukit.me,22,0,1,0,0,1,0
234,reurl.cc,23,1,1,0,0,1,0
235,whitepinesinn.com,24,0,0,0,0,0,0
236,cf-ipfs.com,86,3,1,0,1,2,0
237,ukzblindsuk.ipower.com,34,1,1,0,0,1,0
238,delfinoarcuri5iad.blogspot.com,43,0,1,1,0,1,0
239,provincikhome.webcindario.com,44,1,1,0,0,1,0
240,new.express.adobe.com,51,2,1,0,0,1,0
241,flow.page,29,1,1,0,0,1,0
242,chois.jp,24,2,1,0,0,2,0
243,addtext.wpenginepowered.com,50,2,1,0,0,2,0
244,secure.december-chat.workers.dev,41,0,1,0,1,1,0
245,129.226.210.78,347,3,1,0,0,1,1
246,medkounarda.web.app,28,0,1,0,0,1,0
247,niagabetonprecast.com,59,4,0,1,0,2,0
248,ipfs.eth.aragon.network,115,3,1,0,0,2,0
249,docs.google.com,175,5,1,0,0,1,0
250,script.google.com,112,4,1,0,0,1,0
251,t.co,23,1,1,1,0,1,0
252,docs.google.com,173,5,1,0,0,1,0
253,cf-ipfs.com,80,3,1,0,1,2,0
254,bbvmc.in,26,2,1,0,0,1,0
255,docs.google.com,165,5,1,0,0,1,0
256,ipfs.eth.aragon.network,96,2,1,0,0,1,0
257,boxingtrip.com,26,1,1,0,0,1,0
258,ipfs.eth.aragon.network,96,2,1,0,0,1,0
259,statuesque-jelly-fcz340.netlify.app,44,0,1,0,1,1,0
260,pub-10affc7d98614b899342ca9e4f65baa0.r2.dev,62,1,1,0,1,2,0
261,cf-ipfs.com,71,2,1,0,1,1,0
262,bafybeieids6ronu7nhut25c6x7666ab3w2gcapvwwshqc2qejckpaopy6a.ipfs.cf-ipfs.com,84,0,1,0,1,0,0
263,today-currently-2-6-24.weeblysite.com,46,0,1,0,1,1,0
264,ff.member.gareza.vn,133,1,0,0,0,1,0
265,hsruzsn.cn,23,0,1,0,0,1,0
266,kraken-studio.com,24,0,0,0,1,0,0
267,docs.google.com,113,5,1,0,0,1,0
268,ipfs.eth.aragon.network,96,2,1,0,0,1,0
269,usps.comhelpsq.com,27,0,1,0,0,1,0
270,ipfs.eth.aragon.network,97,2,1,0,0,1,0
271,tinyurl.com,42,1,0,1,0,1,0
272,cpcontacts.adamandco.co.uk,34,0,0,0,0,1,0
273,keepo.io,23,1,1,0,0,1,0
274,wealthnetfinance-mw.com,67,4,1,0,1,1,0
275,elpuertoonlinerd.com,29,0,1,0,0,1,0
276,ipfs.eth.aragon.network,97,2,1,0,0,1,0
277,amandacip.wixsite.com,41,1,1,0,0,1,0
278,bafybeibxtrxrxcx7t2t3cemu5v7fysupanbxur5q3vp56gnhmnt64ukf3y.ipfs.cf-ipfs.com,85,0,1,0,1,1,0
279,cutt.ly,24,1,1,0,0,1,0
280,bit.ly,25,1,1,1,0,1,0
281,martipalk.com,24,1,0,0,0,1,0
282,ipfs.eth.aragon.network,96,2,1,0,0,1,0
283,bafybeigtdjxj2mroh2n62vyuc7a5ngbdnckjofkl7i7fjop5ltd2oisdie.ipfs.cf-ipfs.com,85,0,1,0,1,1,0
284,swiftresolvenode.pages.dev,39,1,1,0,0,1,0
285,ipfs.eth.aragon.network,104,3,1,0,0,1,0
286,startupdtodaylamoreforyuz.rosaura588.workers.dev,110,3,1,0,0,1,0
287,napa.hn,14,0,0,0,0,0,0
288,lienmzyan3lalah.page.link,38,1,1,0,0,1,0
289,bit.ly,26,1,1,1,0,1,0
290,smbc.quanruyun.com,27,0,1,0,0,1,0
291,docs.google.com,175,5,1,0,0,1,0
292,ipfs.eth.aragon.network,96,2,1,0,0,1,0
293,kilowattcs2.com,22,0,0,0,0,0,0
294,bafybeie5qwx2uvwzz4zq5oljdex25bculix2drspl5hzlq3yjkaw4qprly.ipfs.cf-ipfs.com,105,1,1,0,1,2,0
295,docs.google.com,99,5,1,0,0,1,0
296,bk.muft.jiajunbj.com,59,3,1,0,0,2,1
297,servinfo-client.web.app,32,0,1,0,1,1,1
298,ipfs.eth.aragon.network,96,2,1,0,0,1,0
299,bafybeifim2vxqxyactwh3w2jhvisxrnq2wq5wpgfkpoomxf5g3l3lxnzam.ipfs.cf-ipfs.com,84,0,1,0,1,0,0
300,attmmailbos1.wixsite.com,40,1,1,0,0,1,0
301,t.ly,26,1,1,0,0,1,0
302,speitssc.org,61,5,1,0,0,2,0
303,docs.google.com,167,5,1,0,0,1,0
304,zuza.stefek.szczecin.pl,61,4,0,0,0,2,0
305,regularizarbolsa.com,28,0,1,0,0,0,0
306,arstmping002.firebaseapp.com,37,0,1,0,0,1,0
307,cf-ipfs.com,71,2,1,0,1,1,0
308,bafkreicbz3p5z6gt7kkt537xdmhkup3yy4sxv6e2p7djebdp2t4yrcaydi.ipfs.cf-ipfs.com,84,0,1,0,1,0,0
309,sites.google.com,39,2,1,0,0,1,0
310,site9613374.92.webydo.com,33,0,0,0,0,1,0
311,ipfs.eth.aragon.network,96,2,1,0,0,1,0
312,bafybeigyzb4jyu43ciobody5yajwbpap55dyl525dxqgq2wlaps2esy6ui.ipfs.cf-ipfs.com,105,1,1,0,1,2,0
313,lllld.ukit.me,21,0,0,0,0,1,0
314,docs.google.com,190,5,1,0,0,1,0
315,bafybeie6yngibwqd7doniyhqugst5nklcmmzo22mz6w25ranc5te6ak64y.ipfs.nftstorage.link,100,1,1,0,0,2,0
316,att-104420.weeblysite.com,34,0,1,0,1,1,0
317,docs.google.com,181,5,1,0,0,1,0
318,thesafetyguyzit.firebaseapp.com,40,0,1,0,0,1,0
319,ipfs.eth.aragon.network,96,2,1,0,0,1,0
320,aern-ne-jp.dxmdl.cn,37,0,1,0,1,1,0
321,docs.google.com,178,5,1,0,0,1,0
322,docs.google.com,181,5,1,0,0,1,0
323,43.159.39.69,319,3,1,0,0,1,1
324,att-104723.weeblysite.com,34,0,1,0,1,1,0
325,lookerstudio.google.com,92,2,1,0,0,1,0
326,bafkreifit2azxna752dlb3w7xatu7ednuzuai2yh2zs4fhcpm35ozhwyli.ipfs.cf-ipfs.com,84,0,1,0,1,0,0
327,sites.google.com,65,3,1,0,0,1,0
328,manangerservicepage-10884432.miracle-chain.com,71,1,1,0,1,1,0
329,new.express.adobe.com,51,2,1,0,0,1,0
330,cz970.brizy.site,24,0,1,0,0,0,0
331,uspz.uspcc.top,23,0,1,0,0,1,0
332,test.alkhudharigroup.com,62,4,0,0,0,2,0
333,cloudflare-ipfs.com,92,2,1,0,1,1,0
334,site9608556.92.webydo.com,43,1,0,0,0,2,0
335,debixsprkasse.sviluppo.host,57,3,1,0,0,1,1
336,pub-244dbcefcd80432f9c86f9e1e1cc5a04.r2.dev,65,1,1,0,1,2,0
337,t.co,23,1,1,1,0,1,0
338,technicalissuestobereslved.000webhostapp.com,60,1,1,0,0,2,0
339,cloudflare-ipfs.com,104,3,1,0,1,2,0
340,docs.google.com,178,5,1,0,0,1,0
341,sites.google.com,51,3,1,0,0,1,0
342,bioaccfb20233.biz.id,33,1,1,0,0,1,0
343,political-peaceful-shovel.glitch.me,52,1,1,0,1,2,0
344,tjnnea.webwave.dev,27,0,1,0,0,1,0
345,docs.google.com,178,5,1,0,0,1,0
346,cf-ipfs.com,71,2,1,0,1,1,0
347,sondaxvzwt.duckdns.org,29,0,0,0,0,0,0
348,ipfs.eth.aragon.network,104,3,1,0,0,2,0
349,attsevrices.weebly.com,179,0,1,0,0,1,0
350,docs.google.com,167,5,1,0,0,1,0
351,bafybeifccrymqchnzylh6kyimqlr27az6tffikfb4sen2bwzqo23dn2qom.ipfs.cf-ipfs.com,85,0,1,0,1,1,0
352,resume.io,29,2,1,0,0,1,0
353,kakfaf5a.weebly.com,28,0,1,0,0,1,0
354,pub-72baf8622970430fbebaa3c305063af7.r2.dev,63,1,1,0,1,2,0
355,ipfs.eth.aragon.network,97,2,1,0,0,1,0
356,helpid984739571849185962851.web.app,44,0,1,0,0,1,0
357,docs.google.com,173,5,1,0,0,1,0
358,gemsntionalschool-barsha.com,35,0,0,0,1,0,0
359,bigrat.netmente.com,44,3,1,0,0,2,1
360,43.159.32.185,473,3,1,0,0,1,1
361,mestertignseekjet4.blogspot.com,40,0,1,1,0,1,0
362,new.express.adobe.com,51,2,1,0,0,1,0
363,ariteger.com,42,3,1,0,0,1,0
364,usps.posthelpzn.com,39,1,1,0,0,1,0
365,mccaaccountants.com,28,0,1,0,0,1,1
366,cutt.ly,24,1,1,0,0,1,0
367,pub-9d6f84ea06bc401fbf921eb0eb9d28da.r2.dev,63,1,1,0,1,2,0
368,feather-c23c.joaquin1067.workers.dev,81,1,1,0,1,1,0
369,noteqnte09.web.app,27,0,1,0,0,1,0
370,cf-ipfs.com,71,2,1,0,1,1,0
371,att-108297-103062.weeblysite.com,41,0,1,0,1,1,0
372,verifiepost.web.app,28,0,1,0,0,1,0
373,9d62cfee-59b3-42a8-9542-4b3a32692792.htmlcomponentservice.com,126,1,0,0,1,1,0
374,ir5l24.webwave.dev,27,0,1,0,0,1,0
375,dbs96968.vip,37,1,1,0,0,2,0
376,bit.ly,21,1,0,1,0,1,0
377,online-review-payee.firebaseapp.com,44,0,1,0,1,1,0
378,yahoo-mail-support.webflow.io,38,0,1,0,1,1,0
379,wtqggebyvs.duckdns.org,29,0,0,0,0,0,0
380,helposto.top,21,0,1,0,0,1,0
381,bill-upd-referal.com,29,0,1,0,1,1,0
382,juno-02380a.webflow.io,31,0,1,0,1,1,0
383,nazariopisano4opn.blogspot.com,42,0,0,1,0,1,0
384,cheap-adult-sex-chat.co.uk,65,3,1,1,1,1,1
385,ipfs.io,67,2,1,0,0,1,0
386,bafkreifts4jr2kifuzputut4nsdomjyu2sioamwxr3ci6v6tfbv5isloty.ipfs.nftstorage.link,88,0,1,0,0,0,0
387,service.cp46321.tw1.ru,68,2,0,0,0,2,0
388,dd5jfmjqdkrchtgl.mayggga0.online,41,0,1,0,0,1,0
389,my-site-105782-104121.weeblysite.com,45,0,1,0,1,1,0
390,tinyurl.com,28,1,1,1,0,1,0
391,sao112.com,23,0,1,0,0,1,0
392,sites.google.com,57,3,1,0,0,1,0
393,att-100502.square.site,31,0,1,0,1,1,0
394,hotm.art,24,1,1,0,0,1,0
395,tt-109187.weeblysite.com,33,0,1,0,1,1,0
